编号,题名,年份,DOI,PDF,大类,二级类,创新点标签,科学问题标签,相关性,相关性分数,代码状态,代码仓库,方法关键词
75,CENTIME: A Direct Comprehensive Traffic Features Extraction for Encrypted Traffic Classification,2021,10.1109/icccs52626.2021.9449280,paper/10.1109_icccs52626.2021.9449280.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,10,已下载,Traffic-Classification -> source\Traffic-Classification,CENTIME; Direct; Comprehensive; Traffic; Features; Extraction; Encrypted; Classification
76,CSCNN: Cost-Sensitive Convolutional Neural Network for Encrypted Traffic Classification,2021,10.1007/s11063-021-10534-6,paper/10.1007_s11063-021-10534-6.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,CSCNN; Cost-Sensitive; Convolutional; Neural; Network; Encrypted; Traffic; Classification
77,Deep Learning for Network Traffic Monitoring and Analysis (NTMA): A Survey,2021,10.1016/j.comcom.2021.01.021,paper/10.1016_j.comcom.2021.01.021.pdf,数据集、基准、综述与开源工具,其他AI安全与跨域异常检测; 网络流量监测、测量与工具,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失,中相关,8,未发现,,Deep; Learning; Network; Traffic; Monitoring; Analysis; NTMA; Survey
78,DISTILLER: Encrypted traffic classification via multimodal multitask deep learning,2021,10.1016/j.jnca.2021.102985,paper/10.1016_j.jnca.2021.102985.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,多模态、多视图与特征融合,加密与隐私保护造成可观测特征缺失,强相关,11,未发现,,DISTILLER; Encrypted; Traffic; Conversely
79,Distributed Deep Convolutional Neural Networks for the Internet-of-Things,2021,10.1109/tc.2021.3062227,paper/10.1109_tc.2021.3062227.pdf,联邦学习、隐私保护与分布式协同,,联邦学习、隐私保护与协同训练,开放世界未知攻击与误报控制,中相关,5,已下载,distributedCNNs -> source\distributedCNNs,Distributed; Deep; Convolutional; Neural; Networks; Internet-of-Things; Severe; IoT
80,Embedding Blockchain Technology Into IoT for Security: A Survey,2021,10.1109/jiot.2021.3060508,paper/10.1109_jiot.2021.3060508.pdf,数据集、基准、综述与开源工具,联邦学习、隐私保护与分布式协同; IoT、车联网、工业互联网与边缘安全,表征学习、预训练与Transformer; 联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测; 轻量化、实时与高性能部署,数据集代表性、标准化评测与可复现; 边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,弱相关,3,未发现,,Embedding; Blockchain; Technology; Into; IoT; Security; Survey; Internet
81,FARE: Enabling Fine-grained Attack Categorization under Low-quality Labeled Data,2021,10.14722/ndss.2021.24403,paper/10.14722_ndss.2021.24403.pdf,恶意流量、暗网与攻击检测,,应用场景与系统化验证,标签稀缺、类别不平衡与长尾攻击,中相关,8,已下载,FARE -> source\FARE,FARE; Enabling; Fine-grained; Attack; Categorization; Low-quality; Labeled; Data
82,Flow Transformer: A Novel Anonymity Network Traffic Classifier with Attention Mechanism,2021,10.1109/msn53354.2021.00045,paper/10.1109_msn53354.2021.00045.pdf,其他AI安全与跨域异常检测,加密流量分类与应用识别,表征学习、预训练与Transformer,开放世界未知攻击与误报控制,中相关,7,未发现,,Flow; Transformer; Novel; Anonymity; Network; Traffic; Classifier; Attention
83,Generating Network Intrusion Detection Dataset Based on Real and Encrypted Synthetic Attack Traffic,2021,10.3390/app11177868,paper/10.3390_app11177868.pdf,入侵检测与网络异常检测,数据集、基准、综述与开源工具; 恶意流量、暗网与攻击检测,数据集、基准、工具与系统化评测; 生成式增强、GAN与扩散模型,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,16,未发现,,Generating; Network; Intrusion; Detection; Dataset; Based; Real; Encrypted
84,Generative Adversarial Transformers,2021,10.48550/arXiv.2103.01209,paper/10.48550_arXiv.2103.01209.pdf,其他AI安全与跨域异常检测,,表征学习、预训练与Transformer; 生成式增强、GAN与扩散模型; 鲁棒性、对抗防御与可信检测; 轻量化、实时与高性能部署,对抗规避、污染与鲁棒性; 域迁移、概念漂移与真实网络分布变化; 高速流量实时检测与资源约束; 数据集代表性、标准化评测与可复现,弱相关,2,已下载,gansformer -> source\gansformer,Generative; Adversarial; Transformers; GANsformer; Transformer; GAN
85,MATEC: A lightweight neural network for online encrypted traffic classification,2021,10.1016/j.comnet.2021.108472,paper/10.1016_j.comnet.2021.108472.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 在线、增量、开放集与概念漂移,高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失,强相关,13,未发现,,MATEC
86,ME-Box: A reliable method to detect malicious encrypted traffic,2021,10.1016/j.jisa.2021.102823,paper/10.1016_j.jisa.2021.102823.pdf,加密流量分类与应用识别,恶意流量、暗网与攻击检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失,强相关,12,未发现,,ME-Box
87,Multi class SVM algorithm with active learning for network traffic classification,2021,10.1016/j.eswa.2021.114885,paper/10.1016_j.eswa.2021.114885.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,开放世界未知攻击与误报控制,强相关,10,未发现,,Multi; SVM
88,Open-CyKG: An Open Cyber Threat Intelligence Knowledge Graph,2021,10.1016/j.knosys.2021.107524,paper/10.1016_j.knosys.2021.107524.pdf,图学习、知识图谱与威胁情报,,图神经网络与关系建模; 轻量化、实时与高性能部署,多源异构数据融合与上下文建模; 高速流量实时检测与资源约束; 边缘、IoT、车联网与工业场景约束,弱相关,4,已下载,IS5882/Open-CyKG -> source\Open-CyKG,Open-CyKG; Open; Cyber; Threat; Intelligence; Knowledge; Graph; knowledge graph
89,Privacy-Preserving Tucker Train Decomposition Over Blockchain-Based Encrypted Industrial IoT Data,2020,10.1109/tii.2020.2968923,paper/10.1109_tii.2020.2968923.pdf,联邦学习、隐私保护与分布式协同,IoT、车联网、工业互联网与边缘安全,联邦学习、隐私保护与协同训练; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 边缘、IoT、车联网与工业场景约束,中相关,5,未发现,,Privacy-Preserving; Tucker; Train; Decomposition; Over; Blockchain-Based; Encrypted; Industrial
90,SPPNet: An Approach For Real-Time Encrypted Traffic Classification Using Deep Learning,2021,10.1109/globecom46510.2021.9686037,paper/10.1109_globecom46510.2021.9686037.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,轻量化、实时与高性能部署,高速流量实时检测与资源约束; 加密与隐私保护造成可观测特征缺失,强相关,14,未发现,,SPPNet; Approach; Real-Time; Encrypted; Traffic; Classification; Using; Deep
91,tCLD-Net: A Transfer Learning Internet Encrypted Traffic Classification Scheme Based on Convolution Neural Network and Long Short-Term Memory Network,2021,10.1109/ccci52664.2021.9583214,paper/10.1109_ccci52664.2021.9583214.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失; 域迁移、概念漂移与真实网络分布变化,强相关,13,未发现,,Net; Transfer; Learning; Internet; Encrypted; Traffic; Classification; Scheme
92,TSCRNN: A novel classification scheme of encrypted traffic based on flow spatiotemporal features for efficient management of IIoT,2021,10.1016/j.comnet.2021.107974,paper/10.1016_j.comnet.2021.107974.pdf,加密流量分类与应用识别,IoT、车联网、工业互联网与边缘安全; 时序、日志、KPI 与云原生异常检测,轻量化、实时与高性能部署,边缘、IoT、车联网与工业场景约束; 加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,15,未发现,,TSCRNN; IIoT; CNN; LSTM; ISCXTor2016; Tor/nonTor; Furthermore
93,UTMobileNetTraffic2021: A Labeled Public Network Traffic Dataset,2021,10.1109/lnet.2021.3098455,paper/10.1109_lnet.2021.3098455.pdf,数据集、基准、综述与开源工具,加密流量分类与应用识别,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 标签稀缺、类别不平衡与长尾攻击,中相关,6,未发现,,UTMobileNetTraffic2021; Labeled; Public; Network; Traffic; Dataset
94,XAI Meets Mobile Traffic Classification: Understanding and Improving Multimodal Deep Learning Architectures,2021,10.1109/tnsm.2021.3098157,paper/10.1109_tnsm.2021.3098157.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,多模态、多视图与特征融合; 可解释性、规则抽取与因果分析; 鲁棒性、对抗防御与可信检测,模型可解释、可信与可审计; 加密与隐私保护造成可观测特征缺失,强相关,10,未发现,,XAI; Meets; Mobile; Traffic; Classification; Understanding; Improving; Multimodal
95,A Review of Deep Learning Techniques for Encrypted Traffic Classification,2022,10.36647/ciml/03.02.a003,paper/10.36647_ciml_03.02.a003.pdf,加密流量分类与应用识别,数据集、基准、综述与开源工具; 其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,强相关,13,未发现,,Review; Deep; Learning; Techniques; Encrypted; Traffic; Classification; Network
96,"A Survey on Encrypted Network Traffic Analysis Applications, Techniques, and Countermeasures",2022,10.1145/3457904,paper/10.1145_3457904.pdf,数据集、基准、综述与开源工具,网络流量监测、测量与工具,数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 数据集代表性、标准化评测与可复现,中相关,6,未发现,,Survey; Encrypted; Network; Traffic; Analysis; Applications; Techniques; Countermeasures
97,An Efficient Approach for Encrypted Traffic Classification using CNN and Bidirectional GRU,2022,10.1109/iccece54139.2022.9712708,paper/10.1109_iccece54139.2022.9712708.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,轻量化、实时与高性能部署; 数据集、基准、工具与系统化评测,加密与隐私保护造成可观测特征缺失; 高速流量实时检测与资源约束,强相关,15,未发现,,Efficient; Approach; Encrypted; Traffic; Classification; CNN; Bidirectional; GRU
98,An encrypted traffic classification method based on contrastive learning,2022,10.1145/3571662.3571678,paper/10.1145_3571662.3571678.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,自监督、对比学习与少样本学习,加密与隐私保护造成可观测特征缺失,强相关,11,未发现,,International; Conference; Com; Network; Information; Processing; ICCIP; November
99,AppClassNet,2022,10.1145/3561954.3561958,paper/10.1145_3561954.3561958.pdf,数据集、基准、综述与开源工具,,数据集、基准、工具与系统化评测,数据集代表性、标准化评测与可复现; 加密与隐私保护造成可观测特征缺失,弱相关,3,未发现,,AppClassNet; Artificial; Intelligence; Large
100,DarknetSec: A novel self-attentive deep learning method for darknet traffic classification and application identification,2022,10.1016/j.cose.2022.102663,paper/10.1016_j.cose.2022.102663.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测; 恶意流量、暗网与攻击检测,应用场景与系统化验证,开放世界未知攻击与误报控制,强相关,10,未发现,,DarknetSec
101,Deep Learning for Encrypted Traffic Classification and Unknown Data Detection,2022,10.3390/s22197643,paper/10.3390_s22197643.pdf,加密流量分类与应用识别,其他AI安全与跨域异常检测,应用场景与系统化验证,加密与隐私保护造成可观测特征缺失; 开放世界未知攻击与误报控制,强相关,13,未发现,,Deep; Learning; Encrypted; Traffic; Classification; Unknown; Data; Detection
102,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT,2022,10.1109/NOMS54207.2022.9789878,paper/10.1109_NOMS54207.2022.9789878.pdf,入侵检测与网络异常检测,图学习、知识图谱与威胁情报; IoT、车联网、工业互联网与边缘安全,图神经网络与关系建模; 数据集、基准、工具与系统化评测,多源异构数据融合与上下文建模; 边缘、IoT、车联网与工业场景约束; 数据集代表性、标准化评测与可复现,强相关,14,已下载,George730/E-ResGAT -> source\E-ResGAT; waimorris/E-GraphSAGE -> source\E-GraphSAGE,E-GraphSAGE; Graph; Neural; Network; Intrusion; Detection; System; IoT
